Statistic,Year,Type of Land Use,Region,UNIT,VALUE
Area Farmed in June,2016,Vegetables for sale,South-West,000 Hectares,0.3
Area Farmed in June,2016,Vegetables for sale,Eastern and Midland,000 Hectares,2.4
Area Farmed in June,2016,Vegetables for sale,Dublin and Mid-East,000 Hectares,2.2
Area Farmed in June,2016,Vegetables for sale,Midland,000 Hectares,0.2
Area Farmed in June,2016,Fruit,State,000 Hectares,0.8
Area Farmed in June,2016,Fruit,Northern and Western,000 Hectares,0.0
Area Farmed in June,2016,Fruit,Border,000 Hectares,0.0
Area Farmed in June,2016,Fruit,West,000 Hectares,0.0
Area Farmed in June,2016,Fruit,Southern,000 Hectares,0.4
Area Farmed in June,2016,Fruit,Mid-West,000 Hectares,0.1
Area Farmed in June,2016,Fruit,South-East,000 Hectares,0.3
Area Farmed in June,2016,Fruit,South-West,000 Hectares,0.1
Area Farmed in June,2016,Fruit,Eastern and Midland,000 Hectares,0.4
Area Farmed in June,2016,Fruit,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2016,Fruit,Midland,000 Hectares,0.0
Area Farmed in June,2016,"Nurseries, horticulture etc.",State,000 Hectares,0.5
Area Farmed in June,2016,"Nurseries, horticulture etc.",Northern and Western,000 Hectares,0.0
Area Farmed in June,2016,"Nurseries, horticulture etc.",Border,000 Hectares,0.0
Area Farmed in June,2016,"Nurseries, horticulture etc.",West,000 Hectares,0.0
Area Farmed in June,2016,"Nurseries, horticulture etc.",Southern,000 Hectares,0.4
Area Farmed in June,2016,"Nurseries, horticulture etc.",Mid-West,000 Hectares,0.1
Area Farmed in June,2016,"Nurseries, horticulture etc.",South-East,000 Hectares,0.2
Area Farmed in June,2016,"Nurseries, horticulture etc.",South-West,000 Hectares,0.1
Area Farmed in June,2016,"Nurseries, horticulture etc.",Eastern and Midland,000 Hectares,0.1
Area Farmed in June,2016,"Nurseries, horticulture etc.",Dublin and Mid-East,000 Hectares,0.1
Area Farmed in June,2016,"Nurseries, horticulture etc.",Midland,000 Hectares,0.0
Area Farmed in June,2016,Other crops,State,000 Hectares,21.8
Area Farmed in June,2016,Other crops,Northern and Western,000 Hectares,5.5
Area Farmed in June,2016,Other crops,Border,000 Hectares,1.9
Area Farmed in June,2016,Other crops,West,000 Hectares,3.5
Area Farmed in June,2016,Other crops,Southern,000 Hectares,8.8
Area Farmed in June,2016,Other crops,Mid-West,000 Hectares,2.0
Area Farmed in June,2016,Other crops,South-East,000 Hectares,4.5
Area Farmed in June,2016,Other crops,South-West,000 Hectares,2.3
Area Farmed in June,2016,Other crops,Eastern and Midland,000 Hectares,7.5
Area Farmed in June,2016,Other crops,Dublin and Mid-East,000 Hectares,4.5
Area Farmed in June,2016,Other crops,Midland,000 Hectares,3.1
Area Farmed in June,2016,Total cereals,State,000 Hectares,281.1
Area Farmed in June,2016,Total cereals,Northern and Western,000 Hectares,9.6
Area Farmed in June,2016,Total cereals,Border,000 Hectares,5.3
Area Farmed in June,2016,Total cereals,West,000 Hectares,4.3
Area Farmed in June,2016,Total cereals,Southern,000 Hectares,143.8
Area Farmed in June,2016,Total cereals,Mid-West,000 Hectares,23.0
Area Farmed in June,2016,Total cereals,South-East,000 Hectares,80.5
Area Farmed in June,2016,Total cereals,South-West,000 Hectares,40.4
Area Farmed in June,2016,Total cereals,Eastern and Midland,000 Hectares,127.7
Area Farmed in June,2016,Total cereals,Dublin and Mid-East,000 Hectares,97.7
Area Farmed in June,2016,Total cereals,Midland,000 Hectares,30.0
Area Farmed in June,2016,Total wheat,State,000 Hectares,67.9
Area Farmed in June,2016,Total wheat,Northern and Western,000 Hectares,0.9
Area Farmed in June,2016,Total wheat,Border,000 Hectares,0.6
Area Farmed in June,2016,Total wheat,West,000 Hectares,0.3
Area Farmed in June,2016,Total wheat,Southern,000 Hectares,23.3
Area Farmed in June,2016,Total wheat,Mid-West,000 Hectares,4.9
Area Farmed in June,2016,Total wheat,South-East,000 Hectares,12.1
Area Farmed in June,2016,Total wheat,South-West,000 Hectares,6.4
Area Farmed in June,2016,Total wheat,Eastern and Midland,000 Hectares,43.7
Area Farmed in June,2016,Total wheat,Dublin and Mid-East,000 Hectares,38.7
Area Farmed in June,2016,Total wheat,Midland,000 Hectares,4.9
Area Farmed in June,2016,Winter wheat,State,000 Hectares,60.4
Area Farmed in June,2016,Winter wheat,Northern and Western,000 Hectares,0.8
Area Farmed in June,2016,Winter wheat,Border,000 Hectares,0.5
Area Farmed in June,2016,Winter wheat,West,000 Hectares,0.2
Area Farmed in June,2016,Winter wheat,Southern,000 Hectares,18.7
Area Farmed in June,2016,Winter wheat,Mid-West,000 Hectares,4.3
Area Farmed in June,2016,Winter wheat,South-East,000 Hectares,10.2
Area Farmed in June,2016,Winter wheat,South-West,000 Hectares,4.1
Area Farmed in June,2016,Winter wheat,Eastern and Midland,000 Hectares,40.9
Area Farmed in June,2016,Winter wheat,Dublin and Mid-East,000 Hectares,36.5
Area Farmed in June,2016,Winter wheat,Midland,000 Hectares,4.4
Area Farmed in June,2016,Spring wheat,State,000 Hectares,7.5
Area Farmed in June,2016,Spring wheat,Northern and Western,000 Hectares,0.2
Area Farmed in June,2016,Spring wheat,Border,000 Hectares,0.1
Area Farmed in June,2016,Spring wheat,West,000 Hectares,0.1
Area Farmed in June,2016,Spring wheat,Southern,000 Hectares,4.7
Area Farmed in June,2016,Spring wheat,Mid-West,000 Hectares,0.6
Area Farmed in June,2016,Spring wheat,South-East,000 Hectares,1.9
Area Farmed in June,2016,Spring wheat,South-West,000 Hectares,2.2
Area Farmed in June,2016,Spring wheat,Eastern and Midland,000 Hectares,2.7
Area Farmed in June,2016,Spring wheat,Dublin and Mid-East,000 Hectares,2.2
Area Farmed in June,2016,Spring wheat,Midland,000 Hectares,0.5
Area Farmed in June,2016,Total oats,State,000 Hectares,23.2
Area Farmed in June,2016,Total oats,Northern and Western,000 Hectares,1.6
Area Farmed in June,2016,Total oats,Border,000 Hectares,0.8
Area Farmed in June,2016,Total oats,West,000 Hectares,0.8
Area Farmed in June,2016,Total oats,Southern,000 Hectares,11.9
Area Farmed in June,2016,Total oats,Mid-West,000 Hectares,2.1
Area Farmed in June,2016,Total oats,South-East,000 Hectares,7.2
Area Farmed in June,2016,Total oats,South-West,000 Hectares,2.6
Area Farmed in June,2016,Total oats,Eastern and Midland,000 Hectares,9.8
Area Farmed in June,2016,Total oats,Dublin and Mid-East,000 Hectares,7.5
Area Farmed in June,2016,Total oats,Midland,000 Hectares,2.2
Area Farmed in June,2016,Winter oats,State,000 Hectares,13.2
Area Farmed in June,2016,Winter oats,Northern and Western,000 Hectares,0.2
Area Farmed in June,2016,Winter oats,Border,000 Hectares,0.2
Area Farmed in June,2016,Winter oats,West,000 Hectares,0.1
Area Farmed in June,2016,Winter oats,Southern,000 Hectares,6.4
Area Farmed in June,2016,Winter oats,Mid-West,000 Hectares,1.3
Area Farmed in June,2016,Winter oats,South-East,000 Hectares,4.1
Area Farmed in June,2016,Winter oats,South-West,000 Hectares,1.0
Area Farmed in June,2016,Winter oats,Eastern and Midland,000 Hectares,6.6
Area Farmed in June,2016,Winter oats,Dublin and Mid-East,000 Hectares,5.4
Area Farmed in June,2016,Winter oats,Midland,000 Hectares,1.1
Area Farmed in June,2016,Spring oats,State,000 Hectares,10.0
Area Farmed in June,2016,Spring oats,Northern and Western,000 Hectares,1.3
Area Farmed in June,2016,Spring oats,Border,000 Hectares,0.6
Area Farmed in June,2016,Spring oats,West,000 Hectares,0.7
Area Farmed in June,2016,Spring oats,Southern,000 Hectares,5.4
Area Farmed in June,2016,Spring oats,Mid-West,000 Hectares,0.8
Area Farmed in June,2016,Spring oats,South-East,000 Hectares,3.0
Area Farmed in June,2016,Spring oats,South-West,000 Hectares,1.6
Area Farmed in June,2016,Spring oats,Eastern and Midland,000 Hectares,3.2
Area Farmed in June,2016,Spring oats,Dublin and Mid-East,000 Hectares,2.1
Area Farmed in June,2016,Spring oats,Midland,000 Hectares,1.1
Area Farmed in June,2016,Total barley,State,000 Hectares,189.2
Area Farmed in June,2016,Total barley,Northern and Western,000 Hectares,7.1
Area Farmed in June,2016,Total barley,Border,000 Hectares,3.9
Area Farmed in June,2016,Total barley,West,000 Hectares,3.2
Area Farmed in June,2016,Total barley,Southern,000 Hectares,108.3
Area Farmed in June,2016,Total barley,Mid-West,000 Hectares,15.9
Area Farmed in June,2016,Total barley,South-East,000 Hectares,61.1
Area Farmed in June,2016,Total barley,South-West,000 Hectares,31.4
Area Farmed in June,2016,Total barley,Eastern and Midland,000 Hectares,73.8
Area Farmed in June,2016,Total barley,Dublin and Mid-East,000 Hectares,51.1
Area Farmed in June,2016,Total barley,Midland,000 Hectares,22.6
Area Farmed in June,2016,Winter barley,State,000 Hectares,74.6
Area Farmed in June,2016,Winter barley,Northern and Western,000 Hectares,2.6
Area Farmed in June,2016,Winter barley,Border,000 Hectares,1.7
Area Farmed in June,2016,Winter barley,West,000 Hectares,0.9
Area Farmed in June,2016,Winter barley,Southern,000 Hectares,36.8
Area Farmed in June,2016,Winter barley,Mid-West,000 Hectares,8.4
Area Farmed in June,2016,Winter barley,South-East,000 Hectares,16.7
Area Farmed in June,2016,Winter barley,South-West,000 Hectares,11.6
Area Farmed in June,2016,Winter barley,Eastern and Midland,000 Hectares,35.3
Area Farmed in June,2016,Winter barley,Dublin and Mid-East,000 Hectares,27.9
Area Farmed in June,2016,Winter barley,Midland,000 Hectares,7.4
Area Farmed in June,2016,Spring barley,State,000 Hectares,114.6
Area Farmed in June,2016,Spring barley,Northern and Western,000 Hectares,4.5
Area Farmed in June,2016,Spring barley,Border,000 Hectares,2.2
Area Farmed in June,2016,Spring barley,West,000 Hectares,2.3
Area Farmed in June,2016,Spring barley,Southern,000 Hectares,71.6
Area Farmed in June,2016,Spring barley,Mid-West,000 Hectares,7.4
Area Farmed in June,2016,Spring barley,South-East,000 Hectares,44.4
Area Farmed in June,2016,Spring barley,South-West,000 Hectares,19.7
Area Farmed in June,2016,Spring barley,Eastern and Midland,000 Hectares,38.5
Area Farmed in June,2016,Spring barley,Dublin and Mid-East,000 Hectares,23.3
Area Farmed in June,2016,Spring barley,Midland,000 Hectares,15.2
Area Farmed in June,2016,Other cereals,State,000 Hectares,0.8
Area Farmed in June,2016,Other cereals,Northern and Western,000 Hectares,0.1
Area Farmed in June,2016,Other cereals,Border,000 Hectares,0.0
Area Farmed in June,2016,Other cereals,West,000 Hectares,0.0
Area Farmed in June,2016,Other cereals,Southern,000 Hectares,0.2
Area Farmed in June,2016,Other cereals,Mid-West,000 Hectares,0.1
Area Farmed in June,2016,Other cereals,South-East,000 Hectares,0.1
Area Farmed in June,2016,Other cereals,South-West,000 Hectares,0.0
Area Farmed in June,2016,Other cereals,Eastern and Midland,000 Hectares,0.5
Area Farmed in June,2016,Other cereals,Dublin and Mid-East,000 Hectares,0.3
Area Farmed in June,2016,Other cereals,Midland,000 Hectares,0.2
Area Farmed in June,2016,Rough grazing in use,State,000 Hectares,532.4
Area Farmed in June,2016,Rough grazing in use,Northern and Western,000 Hectares,245.4
Area Farmed in June,2016,Rough grazing in use,Border,000 Hectares,122.7
Area Farmed in June,2016,Rough grazing in use,West,000 Hectares,122.7
Area Farmed in June,2016,Rough grazing in use,Southern,000 Hectares,202.0
Area Farmed in June,2016,Rough grazing in use,Mid-West,000 Hectares,49.0
Area Farmed in June,2016,Rough grazing in use,South-East,000 Hectares,22.4
Area Farmed in June,2016,Rough grazing in use,South-West,000 Hectares,130.6
Area Farmed in June,2016,Rough grazing in use,Eastern and Midland,000 Hectares,85.0
Area Farmed in June,2016,Rough grazing in use,Dublin and Mid-East,000 Hectares,36.9
Area Farmed in June,2016,Rough grazing in use,Midland,000 Hectares,48.0
Area Farmed in June,2017,Area farmed (AAU),State,000 Hectares,4489.5
Area Farmed in June,2017,Area farmed (AAU),Northern and Western,000 Hectares,1504.4
Area Farmed in June,2017,Area farmed (AAU),Border,000 Hectares,691.9
Area Farmed in June,2017,Area farmed (AAU),West,000 Hectares,812.5
Area Farmed in June,2017,Area farmed (AAU),Southern,000 Hectares,2019.1
Area Farmed in June,2017,Area farmed (AAU),Mid-West,000 Hectares,732.8
Area Farmed in June,2017,Area farmed (AAU),South-East,000 Hectares,510.0
Area Farmed in June,2017,Area farmed (AAU),South-West,000 Hectares,776.3
Area Farmed in June,2017,Area farmed (AAU),Eastern and Midland,000 Hectares,966.1
Area Farmed in June,2017,Area farmed (AAU),Dublin and Mid-East,000 Hectares,501.8
Area Farmed in June,2017,Area farmed (AAU),Midland,000 Hectares,464.3
Area Farmed in June,2017,Crops and pasture,State,000 Hectares,3969.3
Area Farmed in June,2017,Crops and pasture,Northern and Western,000 Hectares,1264.1
Area Farmed in June,2017,Crops and pasture,Border,000 Hectares,571.6
Area Farmed in June,2017,Crops and pasture,West,000 Hectares,692.5
Area Farmed in June,2017,Crops and pasture,Southern,000 Hectares,1821.4
Area Farmed in June,2017,Crops and pasture,Mid-West,000 Hectares,686.0
Area Farmed in June,2017,Crops and pasture,South-East,000 Hectares,488.0
Area Farmed in June,2017,Crops and pasture,South-West,000 Hectares,647.4
Area Farmed in June,2017,Crops and pasture,Eastern and Midland,000 Hectares,883.8
Area Farmed in June,2017,Crops and pasture,Dublin and Mid-East,000 Hectares,465.0
Area Farmed in June,2017,Crops and pasture,Midland,000 Hectares,418.7
Area Farmed in June,2017,Pasture,State,000 Hectares,2322.7
Area Farmed in June,2017,Pasture,Northern and Western,000 Hectares,847.2
Area Farmed in June,2017,Pasture,Border,000 Hectares,385.9
Area Farmed in June,2017,Pasture,West,000 Hectares,461.2
Area Farmed in June,2017,Pasture,Southern,000 Hectares,1016.5
Area Farmed in June,2017,Pasture,Mid-West,000 Hectares,405.6
Area Farmed in June,2017,Pasture,South-East,000 Hectares,244.9
Area Farmed in June,2017,Pasture,South-West,000 Hectares,366.0
Area Farmed in June,2017,Pasture,Eastern and Midland,000 Hectares,459.0
Area Farmed in June,2017,Pasture,Dublin and Mid-East,000 Hectares,230.2
Area Farmed in June,2017,Pasture,Midland,000 Hectares,228.8
Area Farmed in June,2017,Hay,State,000 Hectares,192.1
Area Farmed in June,2017,Hay,Northern and Western,000 Hectares,56.5
Area Farmed in June,2017,Hay,Border,000 Hectares,25.6
Area Farmed in June,2017,Hay,West,000 Hectares,30.9
Area Farmed in June,2017,Hay,Southern,000 Hectares,86.4
Area Farmed in June,2017,Hay,Mid-West,000 Hectares,52.4
Area Farmed in June,2017,Hay,South-East,000 Hectares,16.7
Area Farmed in June,2017,Hay,South-West,000 Hectares,17.3
Area Farmed in June,2017,Hay,Eastern and Midland,000 Hectares,49.2
Area Farmed in June,2017,Hay,Dublin and Mid-East,000 Hectares,24.9
Area Farmed in June,2017,Hay,Midland,000 Hectares,24.3
Area Farmed in June,2017,Grass silage,State,000 Hectares,1088.9
Area Farmed in June,2017,Grass silage,Northern and Western,000 Hectares,340.2
Area Farmed in June,2017,Grass silage,Border,000 Hectares,150.3
Area Farmed in June,2017,Grass silage,West,000 Hectares,189.9
Area Farmed in June,2017,Grass silage,Southern,000 Hectares,536.2
Area Farmed in June,2017,Grass silage,Mid-West,000 Hectares,199.4
Area Farmed in June,2017,Grass silage,South-East,000 Hectares,124.5
Area Farmed in June,2017,Grass silage,South-West,000 Hectares,212.3
Area Farmed in June,2017,Grass silage,Eastern and Midland,000 Hectares,212.5
Area Farmed in June,2017,Grass silage,Dublin and Mid-East,000 Hectares,86.1
Area Farmed in June,2017,Grass silage,Midland,000 Hectares,126.4
Area Farmed in June,2017,"Total crops, fruit and horticulture",State,000 Hectares,365.6
Area Farmed in June,2017,"Total crops, fruit and horticulture",Northern and Western,000 Hectares,20.2
Area Farmed in June,2017,"Total crops, fruit and horticulture",Border,000 Hectares,9.8
Area Farmed in June,2017,"Total crops, fruit and horticulture",West,000 Hectares,10.5
Area Farmed in June,2017,"Total crops, fruit and horticulture",Southern,000 Hectares,182.3
Area Farmed in June,2017,"Total crops, fruit and horticulture",Mid-West,000 Hectares,28.5
Area Farmed in June,2017,"Total crops, fruit and horticulture",South-East,000 Hectares,101.9
Area Farmed in June,2017,"Total crops, fruit and horticulture",South-West,000 Hectares,51.9
Area Farmed in June,2017,"Total crops, fruit and horticulture",Eastern and Midland,000 Hectares,163.0
Area Farmed in June,2017,"Total crops, fruit and horticulture",Dublin and Mid-East,000 Hectares,123.8
Area Farmed in June,2017,"Total crops, fruit and horticulture",Midland,000 Hectares,39.2
Area Farmed in June,2017,Beans and peas,State,000 Hectares,13.7
Area Farmed in June,2017,Beans and peas,Northern and Western,000 Hectares,0.1
Area Farmed in June,2017,Beans and peas,Border,000 Hectares,0.0
Area Farmed in June,2017,Beans and peas,West,000 Hectares,0.0
Area Farmed in June,2017,Beans and peas,Southern,000 Hectares,7.2
Area Farmed in June,2017,Beans and peas,Mid-West,000 Hectares,0.7
Area Farmed in June,2017,Beans and peas,South-East,000 Hectares,4.8
Area Farmed in June,2017,Beans and peas,South-West,000 Hectares,1.7
Area Farmed in June,2017,Beans and peas,Eastern and Midland,000 Hectares,6.5
Area Farmed in June,2017,Beans and peas,Dublin and Mid-East,000 Hectares,5.5
Area Farmed in June,2017,Beans and peas,Midland,000 Hectares,1.0
Area Farmed in June,2017,Oilseed rape,State,000 Hectares,10.1
Area Farmed in June,2017,Oilseed rape,Northern and Western,000 Hectares,0.1
Area Farmed in June,2017,Oilseed rape,Border,000 Hectares,0.0
Area Farmed in June,2017,Oilseed rape,West,000 Hectares,0.0
Area Farmed in June,2017,Oilseed rape,Southern,000 Hectares,4.0
Area Farmed in June,2017,Oilseed rape,Mid-West,000 Hectares,0.6
Area Farmed in June,2017,Oilseed rape,South-East,000 Hectares,2.8
Area Farmed in June,2017,Oilseed rape,South-West,000 Hectares,0.5
Area Farmed in June,2017,Oilseed rape,Eastern and Midland,000 Hectares,6.0
Area Farmed in June,2017,Oilseed rape,Dublin and Mid-East,000 Hectares,5.1
Area Farmed in June,2017,Oilseed rape,Midland,000 Hectares,0.9
Area Farmed in June,2017,Arable silage,State,000 Hectares,2.9
Area Farmed in June,2017,Arable silage,Northern and Western,000 Hectares,0.7
